REF_DATE,GEO,Labour force characteristics,Population centre and rural areas,Gender,Age group,VALUE
24-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,2.8
24-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.8
24-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,6.1
24-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.5
24-Oct,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.7
24-Nov,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.9
24-Dec,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.7
25-Jan,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,6.6
25-Feb,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,5.1
25-Mar,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.9
25-Apr,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.5
25-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.4
25-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,3.4
25-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,4.9
25-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,8.9
25-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 years and over,2.6
21-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,5.7
21-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.2
21-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,7.6
21-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,8.8
21-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.9
21-Oct,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.9
21-Nov,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,5.4
21-Dec,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.5
22-Jan,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,6.8
22-Feb,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.6
22-Mar,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4
22-Apr,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.6
22-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3
22-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.9
22-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.4
22-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,9.5
22-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.7
22-Oct,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.7
22-Nov,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,2.6
22-Dec,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.2
23-Jan,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.8
23-Feb,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,5
23-Mar,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.1
23-Apr,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.1
23-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.8
23-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,2.9
23-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,7.9
23-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,9.3
23-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.4
23-Oct,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,2.8
23-Nov,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.2
23-Dec,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,2.1
24-Jan,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,2
24-Feb,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,5.1
24-Mar,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.2
24-Apr,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,5.2
24-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3
24-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.1
24-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.4
24-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,6.8
24-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.7
24-Oct,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.7
24-Nov,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4
24-Dec,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.9
25-Jan,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,7.8
25-Feb,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,5
25-Mar,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.5
25-Apr,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,3.9
25-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.5
25-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,4.3
25-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,5.6
25-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,9.8
25-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,55 to 64 years,2.7
21-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
21-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
21-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,6.5
21-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,10.9
21-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,5.7
21-Oct,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,7.2
21-Nov,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,5.6
21-Dec,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,4
22-Jan,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,6.5
22-Feb,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,4.5
22-Mar,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,4.5
22-Apr,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
22-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3.7
22-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,4.2
22-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,5.5
22-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,4.1
22-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
22-Oct,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
22-Nov,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
22-Dec,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
23-Jan,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
23-Feb,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
23-Mar,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3.5
23-Apr,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3.8
23-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3.4
23-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3.8
23-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,5.1
23-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,4.8
23-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3.6
23-Oct,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,5.8
23-Nov,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
23-Dec,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
24-Jan,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
24-Feb,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3.6
24-Mar,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3.4
24-Apr,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
24-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
24-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
24-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
24-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
24-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
24-Oct,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3.6
24-Nov,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,4.5
24-Dec,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,4.4
25-Jan,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,3
25-Feb,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,5.5
25-Mar,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,4.6
25-Apr,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
25-May,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
25-Jun,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
25-Jul,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
25-Aug,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,6.8
25-Sep,Manitoba,Unemployment rate,"Total, all population centres and rural areas",Women+,65 years and over,
21-May,Manitoba,Employment rate,"Total, all population centres and rural areas",Men+,15 years and over,68.4
